Date : 2022-02-08 18:19:37
Directory : e:\PROGS\Piano-Journey\Piano Journey
Total : 644 files,  48890 codes, 26473 comments, 13149 blanks, all 88512 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\music-theory\Scale.md                                                         | Markdown   |         39 |          0 |         19 |         58 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Common-problems.md                                                   | Markdown   |         25 |          0 |         15 |         40 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Current-time-watching.md                                             | Markdown   |         35 |          0 |         15 |         50 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Custom-playback.md                                                   | Markdown   |         48 |          0 |         19 |         67 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Data-tracking.md                                                     | Markdown   |         67 |          0 |         35 |        102 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Overview.md                                                          | Markdown   |         67 |          0 |         24 |         91 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\playback\Tick-generator.md                                                    | Markdown   |         82 |          0 |         30 |        112 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\recording\Overview.md                                                         | Markdown   |         32 |          0 |         15 |         47 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\toc.md                                                                        | Markdown   |         53 |          0 |          8 |         61 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools\MIDI-file-splitter.md                                                   | Markdown   |         32 |          0 |         28 |         60 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools\Notes-and-chords-splitter.md                                            | Markdown   |         32 |          0 |         23 |         55 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools\Notes-merger.md                                                         | Markdown   |         28 |          0 |          9 |         37 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools\Overview.md                                                             | Markdown   |         11 |          0 |          3 |         14 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\articles\tools\Quantizer.md                                                            | Markdown   |         47 |          0 |         41 |         88 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\docfx.json                                                                             | JSON       |         20 |         32 |          0 |         52 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\filter.yml                                                                             | YAML       |         11 |          0 |          0 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\latest-release-notes.md                                                                | Markdown   |         22 |          0 |          3 |         25 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS1\description.md                                                           | Markdown   |          9 |          0 |          2 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS1\new.md                                                                   | Markdown   |          7 |          0 |          0 |          7 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS1\old.md                                                                   | Markdown   |          2 |          0 |          0 |          2 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS2\description.md                                                           | Markdown   |         10 |          0 |          1 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS2\new.md                                                                   | Markdown   |          3 |          0 |          0 |          3 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS2\old.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS3\description.md                                                           | Markdown   |         10 |          0 |          3 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS3\new.md                                                                   | Markdown   |          2 |          0 |          0 |          2 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS3\old.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS4\description.md                                                           | Markdown   |         10 |          0 |          3 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS4\new.md                                                                   | Markdown   |          2 |          0 |          0 |          2 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS4\old.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS5\description.md                                                           | Markdown   |          4 |          0 |          1 |          5 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS5\new.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS5\old.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS6\description.md                                                           | Markdown   |         16 |          0 |          3 |         19 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS6\new.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS6\old.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS7\description.md                                                           | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS7\new.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS7\old.md                                                                   | Markdown   |          3 |          0 |          0 |          3 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS8\description.md                                                           | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS8\new.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS8\old.md                                                                   | Markdown   |          3 |          0 |          0 |          3 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS9\description.md                                                           | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS9\new.md                                                                   | Markdown   |          1 |          0 |          0 |          1 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\OBS9\old.md                                                                   | Markdown   |          3 |          0 |          0 |          3 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\obsolete.md                                                                   | Markdown   |          3 |          0 |          3 |          6 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\status.json                                                                   | JSON       |         47 |          0 |          0 |         47 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\obsolete\template.md                                                                   | Markdown   |          7 |          0 |          6 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\templates\dwm\styles\main.css                                                          | CSS        |        392 |         22 |        113 |        527 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\Docs\toc.yml                                                                                | YAML       |         11 |          0 |          0 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\CircularBuffer.cs                                                         | C#         |         74 |          0 |         24 |         98 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\ControlName.cs                                                            | C#         |         96 |        273 |         90 |        459 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DataTypes\DataTypesUtilities.cs                                           | C#         |        156 |          0 |         31 |        187 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DataTypes\FourBitNumber.cs                                                | C#         |        149 |        223 |         53 |        425 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DataTypes\SevenBitNumber.cs                                               | C#         |        149 |        235 |         53 |        437 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DataTypes\ShortByteParser.cs                                              | C#         |         19 |          0 |          6 |         25 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\DisplayNameAttribute.cs                                                   | C#         |         16 |          0 |          7 |         23 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\IMetadata.cs                                                              | C#         |          7 |          6 |          1 |         14 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Logger.cs                                                                 | C#         |         68 |          0 |         20 |         88 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\MathUtilities.cs                                                          | C#         |        120 |          0 |         29 |        149 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\ObjectWrapper.cs                                                          | C#         |          9 |          0 |          3 |         12 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Parsing\Parsing.cs                                                        | C#         |          4 |          0 |          1 |          5 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Parsing\ParsingResult.cs                                                  | C#         |         55 |          0 |         20 |         75 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Parsing\ParsingStatus.cs                                                  | C#         |         10 |          0 |          1 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\Parsing\ParsingUtilities.cs                                               | C#         |         81 |          0 |         23 |        104 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\SmpteFormat.cs                                                            | C#         |         10 |         15 |          4 |         29 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\StreamWrapper.cs                                                          | C#         |         96 |          0 |         34 |        130 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Common\ThrowIfArgument.cs                                                        | C#         |        153 |          0 |         35 |        188 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\AddAnchorAction.cs                                             | C#         |         31 |          0 |         12 |         43 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\AddChordAction.cs                                              | C#         |         38 |          0 |         14 |         52 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\AddNoteAction.cs                                               | C#         |         37 |          0 |         15 |         52 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\AddPatternAction.cs                                            | C#         |         27 |          0 |         11 |         38 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\AddTextEventAction.cs                                          | C#         |         33 |          0 |         13 |         46 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\MoveToAnchorAction.cs                                          | C#         |         64 |          0 |         21 |         85 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\MoveToTimeAction.cs                                            | C#         |         36 |          0 |         14 |         50 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\SetProgram\SetGeneralMidi2ProgramAction.cs                     | C#         |         32 |          0 |         13 |         45 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\SetProgram\SetGeneralMidiProgramAction.cs                      | C#         |         31 |          0 |         13 |         44 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\SetProgram\SetProgramNumberAction.cs                           | C#         |         32 |          0 |         13 |         45 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\StepAction.cs                                                  | C#         |         16 |          0 |          7 |         23 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\StepBackAction.cs                                              | C#         |         29 |          0 |         11 |         40 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Actions\StepForwardAction.cs                                           | C#         |         26 |          0 |          9 |         35 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Descriptors\ChordDescriptor.cs                                         | C#         |         63 |         55 |         21 |        139 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Descriptors\NoteDescriptor.cs                                          | C#         |         61 |         55 |         21 |        137 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Pattern.cs                                                             | C#         |         71 |         48 |         25 |        144 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternAction.cs                                                       | C#         |         13 |          0 |          7 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternActionResult.cs                                                 | C#         |         39 |          0 |         16 |         55 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternActionState.cs                                                  | C#         |          9 |         19 |          3 |         31 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternBuilder.cs                                                      | C#         |        468 |      1,101 |        165 |      1,734 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternContext.cs                                                      | C#         |         57 |          0 |         21 |         78 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\PatternUtilities.cs                                                    | C#         |        197 |        201 |         50 |        448 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Selections\ChordSelection.cs                                           | C#         |          4 |          8 |          1 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Selections\NoteSelection.cs                                            | C#         |          4 |          8 |          1 |         13 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Transformations\ChordTransformation.cs                                 | C#         |          4 |          6 |          1 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Composing\Transformations\NoteTransformation.cs                                  | C#         |          4 |          6 |          1 |         11 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters\ChunksConverterFactory.cs                                  | C#         |         25 |         12 |          6 |         43 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters\IChunksConverter.cs                                        | C#         |          8 |         10 |          2 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters\MultiSequenceChunksConverter.cs                            | C#         |         35 |          0 |         11 |         46 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters\MultiTrackChunksConverter.cs                               | C#         |         69 |          0 |         26 |         95 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ChunksConverters\SingleTrackChunksConverter.cs                              | C#         |         93 |          8 |         38 |        139 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\HeaderChunk.cs                                                       | C#         |         51 |         79 |         22 |        152 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\Info\ChunkType.cs                                                    | C#         |         18 |         14 |          8 |         40 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\Info\ChunkTypesCollection.cs                                         | C#         |         40 |         46 |         13 |         99 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\Info\StandardChunkIds.cs                                             | C#         |         15 |          0 |          6 |         21 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\MidiChunk.cs                                                         | C#         |         73 |        139 |         35 |        247 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\TrackChunk.cs                                                        | C#         |        204 |         99 |         76 |        379 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Chunks\UnknownChunk.cs                                                      | C#         |         65 |         56 |         19 |        140 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Collections\ChunksCollection.cs                                             | C#         |        100 |        140 |         38 |        278 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Collections\EventsCollection.cs                                             | C#         |        105 |        141 |         41 |        287 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Chunk\MidiChunkEquality.cs                                         | C#         |         54 |          0 |         14 |         68 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Chunk\MidiChunkEqualityCheckSettings.cs                            | C#         |          9 |          8 |          3 |         20 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Event\EventsCollectionEquality.cs                                  | C#         |         36 |          0 |          9 |         45 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Event\MidiEventEquality.cs                                         | C#         |        196 |          2 |         42 |        240 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\Event\MidiEventEqualityCheckSettings.cs                            | C#         |         24 |         14 |          9 |         47 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\File\MidiFileEquality.cs                                           | C#         |         48 |          0 |         12 |         60 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Equality\File\MidiFileEqualityCheckSettings.cs                              | C#         |         10 |         18 |          4 |         32 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\ChannelEvent.cs                                                 | C#         |         41 |         16 |         14 |         71 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\MetaEvent.cs                                                    | C#         |         39 |         69 |         16 |        124 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\MidiEvent.cs                                                    | C#         |         63 |         87 |         27 |        177 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\MidiEventType.cs                                                | C#         |         45 |        120 |         39 |        204 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\SysExEvent.cs                                                   | C#         |         40 |         36 |         17 |         93 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\SystemCommonEvent.cs                                            | C#         |         12 |         12 |          3 |         27 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Base\SystemRealTimeEvent.cs                                          | C#         |         24 |         11 |          8 |         43 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\ChannelAftertouchEvent.cs                                    | C#         |         51 |         27 |         15 |         93 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\ControlChangeEvent.cs                                        | C#         |         60 |         30 |         16 |        106 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\NoteAftertouchEvent.cs                                       | C#         |         60 |         29 |         16 |        105 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\NoteEvent.cs                                                 | C#         |         48 |         20 |         14 |         82 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\NoteOffEvent.cs                                              | C#         |         32 |         23 |          9 |         64 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\NoteOnEvent.cs                                               | C#         |         32 |         23 |          9 |         64 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\PitchBendEvent.cs                                            | C#         |         72 |         36 |         20 |        128 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Channel\ProgramChangeEvent.cs                                        | C#         |         51 |         25 |         15 |         91 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Converters\BytesToMidiEventConverter.cs                              | C#         |         73 |         55 |         29 |        157 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Converters\MidiEventToBytesConverter.cs                              | C#         |         66 |         34 |         28 |        128 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Info\EventStatusBytes.cs                                             | C#         |         59 |          0 |          5 |         64 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Info\EventType.cs                                                    | C#         |         18 |         15 |          8 |         41 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Info\EventTypesCollection.cs                                         | C#         |         40 |         37 |         13 |         90 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Info\StandardMetaEventStatusBytes.cs                                 | C#         |         20 |          0 |          7 |         27 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\BaseTextEvent.cs                                                | C#         |         68 |         37 |         19 |        124 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\ChannelPrefixEvent.cs                                           | C#         |         42 |         42 |         14 |         98 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\CopyrightNoticeEvent.cs                                         | C#         |         26 |         22 |          8 |         56 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\CuePointEvent.cs                                                | C#         |         26 |         25 |          8 |         59 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\DeviceNameEvent.cs                                              | C#         |         26 |         23 |          8 |         57 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\EndOfTrackEvent.cs                                              | C#         |         32 |         30 |         10 |         72 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\InstrumentNameEvent.cs                                          | C#         |         26 |         25 |          8 |         59 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\KeySignatureEvent.cs                                            | C#         |        114 |         80 |         36 |        230 |
| e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Events\Meta\LyricEvent.cs                                                   | C#         |         26 |         22 |          8 |         56 |
